Name,Address,City,Postcode,Latitude,Longitude
Eagle Manor Pharmacy,1901 Weston Road Unit 19,Toronto,M9N 3P5,43.70057,-79.51667
Eglinton Bathurst Pharmacy,856 Eglinton Ave W,Toronto,M6C 2B6,43.701129,-79.426037
Eglinton Discount Drugs,1774 Eglinton Avenue West Main Floor,Toronto,M6E 2H6,43.694972,-79.453456
Eglinton Medical Pharmacy,2010 Eglinton Avenue West,Toronto,M6E 2K3,43.694972,-79.453456
Family Care Pharmacy,5-1209 King Street West,Toronto,M6K 1G2,43.638865,-79.426833
Finch-Leslie Pharmacy,149C Ravel Road,Toronto,M2H 1T1,43.794325,-79.325958
Forest Hill Pharmacy,102-491 Eglinton Ave W,Toronto,M5N 1A8,43.70346,-79.41285
Friendly Care King West Pharmacy,2077 Weston Road,Toronto,M9N 1X7,43.702157,-79.522441
Front Street Pharmacy,431 King Street East,Toronto,M5A 1L5,43.65353,-79.361576
Genix Pharmacy,3094 Danforth Avenue,Toronto,M1L 1B1,43.692118,-79.284461
Geriat Rx Pharmacy,53 The Links Road Suite 200,Toronto,M2P 1T7,43.698697,-79.286093
Gerrard Street Pharmacy,247 Coxwell Ave,Toronto,M4L 3B4,43.672612,-79.318979
Get Well Pharmacy,1278 The Queensway,Toronto,M8Z 1S3,43.62135,-79.52658
Glen George Ida,1118 Victoria Park Ave,Toronto,M4B 2K3,43.707937,-79.296247
Glen Manor Pharmacy,116 Glen Manor Drive,Toronto,M4E 2X2,43.67437,-79.37575
Glengrove Pharmacy,2760 Yonge St,Toronto,M4N 2J2,43.71867,-79.40123
Glenholme Pharmacy,896 St. Clair Ave W,Toronto,M6C 1C5,43.6804,-79.433223
Golden Gate Pharmacy,939 O'Connor Drive,Toronto,M4B 2S7,43.707704,-79.311181
Green Medical Pharmacy,1705 St Clair Avenue West,Toronto,M6N 1J2,43.674062,-79.459406
Green Pharmacy,620A Bloor Street West,Toronto,M6G 1K7,46.49946,-81.00068
Greendale Drugs,152 Carlton St.,Toronto,M5A 2K1,43.6631,-79.37457
Greenwood Pharmacy,1285 Gerrard St East,Toronto,M4L 1Y5,43.670753,-79.328201
Haber'S Compounding Pharmacy,1584 Bathurst St,Toronto,M5P 3H3,43.68677,-79.42028
Harbourfront Medicine Cabinet,#1-8 York Street,Toronto,M5J 2Y2,43.6405,-79.38081
Health Care Mart,1173 Queen St W,Toronto,M6J 1J4,43.64259,-79.426012
Health Choice Pharmacy,449 Queen St W,Toronto,M5V 2A9,43.64849,-79.3969
Health Drug Mart,105 Parkway Forest Dr,Toronto,M2J 1L8,43.774126,-79.341835
Health Drug Mart,70 Forest Manor Rd,Toronto,M2J 0A9,43.774431,-79.344259
Healthshield Pharmacy,2-589 King Street East,Toronto,M5A 1M6,43.656428,-79.35647
Healthshield Pharmacy,939 O'Connor Drive,Toronto,M4B 2S7,43.707704,-79.311181
Hellenic Pharmacy,374 Danforth Avenue,Toronto,M4K 1N8,43.677857,-79.352214
Heritage Pharmacy,1488 Danforth Avenue,Toronto,M4J 1N4,43.683129,-79.325735
High Park Pharmacy,1938 Bloor Street W.,Toronto,M6P 3K8,43.653442,-79.466793
Hilary'S Pharmacy,811 Dundas Street W.,Toronto,M6J 1V4,43.651618,-79.40865
Homa Pharmacy,2698 Jane Street,Toronto,M3L 1S5,43.743118,-79.514126
Hooper'S Pharmacy,2124 Queen Street East,Toronto,M4E 1E3,43.671543,-79.293932
Howard Pharmacy,25 Howard Street,Toronto,M4X 1J6,43.671107,-79.375062
Hui'S Pharmasave,280 Spadina Ave,Toronto,M5T 3A5,43.65252,-79.39858
Humber Bay Pharmacy,2240 Lakeshore Blvd,Toronto,M8V 0B1,43.62123,-79.48332
Hurst Guardian Pharmacy,419 Donlands Avenue,Toronto,M4J 3S2,43.694451,-79.342714
Icare Discount Pharmacy,6-1577 Danforth Ave,Toronto,M4C 1H7,43.68318,-79.32304
Icare Pharmacy Services,26-2 Thorncliffe Park Dr.,Toronto,M4H 1H2,43.7066,-79.35149
Infinity Health Pharmacy,35 Lower Simcoe Street,Toronto,M5J 3A6,43.64194,-79.38357
International Pharmacy,1218 King Street W.,Toronto,M6K 1G4,43.639066,-79.42817
Islington Discount Pharmacy,201-2304 Islington Ave,Toronto,M9W 3W9,43.718417,-79.556672
Islington Ida Pharmacy,2428 Islington Ave,Toronto,M9W 3X8,43.781669,-79.320153
Islington Medical Pharmacy,1243 Islington Avenue Suite 103,Toronto,M8X 1Y9,43.64594,-79.52351
J.C. Pharmacy,1A- 3685 Keele St,Toronto,M3J 3H6,43.7534,-79.48812
Jamestown Pharmacy,5- 225 Wellesley Street East,Toronto,M4X 1X8,43.667325,-79.372738
Jane Park Plaza Pharmacy,873 Jane St.,Toronto,M6N 4C4,43.72192,-79.29603
Jane Wilson Pharmacy,2111 Jane St Unit # 3,Toronto,M3M 1A2,43.66914,-79.3859
Janedal Pharmacy,3-965 Jane Street,Toronto,M6N 4E1,43.680818,-79.497169
Jarvis St. Apothecary,275 Jarvis St,Toronto,M5B 2P2,43.658254,-79.374723
Jimmy'S Pharmacy,255 Broadview Ave.,Toronto,M4M 2G6,43.66292,-79.35134
John & Jack Pharmacy,787 Lawrence Ave West,Toronto,M6A 1C2,43.714342,-79.452349
Junction Pharmacy,3016 Dundas St W,Toronto,M6P 1Z3,43.66567,-79.46995
Kassel'S Pharmacy,396 Royal York Road,Toronto,M8Y 2R5,43.61939,-79.500039
Keele & Rogers Pharmacy,D5-605 Rogers Road,Toronto,M6M 1B9,43.681619,-79.474513
Kingsway Drugs,114 Cumberland Street,Toronto,M5R 1A6,43.67033,-79.39162
Klh Pharmacy,4113-A Lawrence Avenue E,Toronto,M1E 2S2,43.765155,-79.200732
Konop Chemists Ltd,208 Bloor St W,Toronto,M5S 3B4,43.66892,-79.39589
L. & A. Pharmacy,1485 Gerrard St E,Toronto,M4L 2A4,43.672383,-79.320007
L. Leone Pharmacy,1615 Dufferin St,Toronto,M6H 3L9,43.67663,-79.44228
Lakefront Medical Pharmacy,14-550 Queens Quay West,Toronto,M5V 3M8,43.637186,-79.396155
Lakeside Pharmacy,2438 Lakeshore Blvd West,Toronto,M8V 1C4,43.61409,-79.48919
Lawrence Heights Phamily Pharmacy,12 Flemington Road,Toronto,M6A 2N4,43.71952,-79.44481
Lawrence Medical Pharmacy,4-1575 Lawrence Ave West,Toronto,M6L 1C3,43.705635,-79.49007
Lawrence Pharmachoice,5-2013A Lawrence Ave West,Toronto,M9N 0A3,43.71921,-79.43007
Lawrence-Victoria Pk Pharmacy,1723 Lawrence Ave E.,Toronto,M1R 2X7,43.745115,-79.295902
Leaside Community Pharmacy,795 Eglinton Avenue E.,Toronto,M4G 4E4,43.711242,-79.378653
Lefko Drugs,842 Wilson Avenue,Toronto,M3K 1E5,43.730812,-79.467384
Leslie Grove Pharmacy,1176 Queen Street E.,Toronto,M4M 1L4,43.66303,-79.33212
Liberty Market Pharmacy,"171 East Liberty Street, Unit 102 ",Toronto,M6K 3P6,43.63878,-79.41631
Life Trust Pharmacy,201-125 Norfinch Dr,Toronto,M3N 1W8,43.756916,-79.525639
Lily Pharmacy,9-2721 Jane Street,Toronto,M3L 1S3,43.740692,-79.513259
Lingeman Pharmacy,411 Jane St,Toronto,M6S 3Z6,43.65875,-79.48792
Lmc Pharmacy,107-1929 Bayview Avenue,Toronto,M4G 3E8,43.715993,-79.377546
Loblaw Pharmacy,585 Queen Street West,Toronto,M5V 2B7,43.647554,-79.401596
Loblaw Pharmacy,60 Carlton Street,Toronto,M5B 1L1,43.66217,-79.37927
Loblaw Pharmacy,5095 Yonge Street,Toronto,M2N 6Z4,43.767355,-79.41271
Loblaw Pharmacy,Loblaws Division 2877 Bayview Avenue,Toronto,M2K 2S3,43.768619,-79.387295
Loblaw Pharmacy,51 Gerry Fitzgerald Dr,Toronto,M3J 3N4,43.78483,-79.47151
Loblaw Pharmacy,Loblaws Rcss Division 825 Don Mills Road,Toronto,M3C 1V4,43.720218,-79.338305
Loblaw Pharmacy,Loblaws Supermarket 11 Redway Road,Toronto,M4H 1P6,43.70157,-79.3589
Loblaw Pharmacy,Loblaws Div 396 St Clair Ave West,Toronto,M4P 3N3,43.69097,-79.38171
Loblaw Pharmacy,2549 Weston Road,Toronto,M9N 2A7,43.709959,-79.533854
Loblaw Pharmacy,200 Front Street East,Toronto,M5A 4T9,43.65053,-79.36616
Lord'S Pharmacy,225 Wellesley St,Toronto,M4X 1X8,43.66733,-79.37274
M&D Sheppard Pharmacy,2-872 Sheppard Ave W,Toronto,M3H 5V5,43.751178,-79.459019
Main Drug Mart,1169 Dundas St West,Toronto,M6J 2Z9,43.64944,-79.42211
Main Drug Mart,1315 Finch Ave West Suite 117,Toronto,M3J 2G6,43.751259,-79.54618
